trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1555,False,"{'a': 0.002, 'e': 0.04469024651236344}",25,18,13.159493721948653,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1556,False,"{'a': 0.002, 'e': 0.044600955340274535}",20,16,9.560957602363416,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1557,False,"{'a': 0.002, 'e': 0.04451184257206644}",25,15,6.489189869841856,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1558,False,"{'a': 0.002, 'e': 0.044422907851287996}",20,2,32.263901626841125,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1559,False,"{'a': 0.002, 'e': 0.04433415082220017}",20,8,24.06312301610961,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1560,False,"{'a': 0.002, 'e': 0.04424557112977477}",25,10,29.62385930178626,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1561,False,"{'a': 0.002, 'e': 0.04415716841969286}",25,11,26.497255742287287,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1562,False,"{'a': 0.002, 'e': 0.04406894233834353}",20,10,9.035586794923933,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1563,False,"{'a': 0.002, 'e': 0.04398089253282229}",25,11,25.021478984156843,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1564,False,"{'a': 0.002, 'e': 0.04389301865092984}",25,18,11.833096555674866,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1565,False,"{'a': 0.002, 'e': 0.04380532034117049}",20,10,-3.003252960881249,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
1566,False,"{'a': 0.002, 'e': 0.04371779725275094}",25,7,30.544064865616733,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1567,False,"{'a': 0.002, 'e': 0.043630449035578674}",25,14,19.31931549232243,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1568,False,"{'a': 0.002, 'e': 0.04354327534026074}",20,3,25.718205260191702,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1569,False,"{'a': 0.002, 'e': 0.04345627581810221}",25,15,1.367290107394215,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1570,False,"{'a': 0.002, 'e': 0.04336945012110491}",25,14,20.57140723607451,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1571,False,"{'a': 0.002, 'e': 0.043282797901965896}",25,16,9.035954594858646,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
1572,False,"{'a': 0.002, 'e': 0.04319631881407622}",25,13,20.01711054962896,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1573,False,"{'a': 0.002, 'e': 0.043110012511519386}",25,18,13.431039429940622,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1574,False,"{'a': 0.002, 'e': 0.04302387864907009}",20,3,4.260907728439978,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
1575,False,"{'a': 0.002, 'e': 0.042937916882192735}",20,10,17.018873645112187,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1576,False,"{'a': 0.002, 'e': 0.04285212686704019}",35,18,33.75493293184809,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1577,False,"{'a': 0.002, 'e': 0.04276650826045222}",25,14,19.089665901438718,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1578,False,"{'a': 0.002, 'e': 0.04268106071995433}",25,8,30.397935397082996,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1579,False,"{'a': 0.002, 'e': 0.042595783903756214}",20,15,9.543602902246963,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1580,False,"{'a': 0.002, 'e': 0.042510677470750526}",20,9,20.561806397807164,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1581,False,"{'a': 0.002, 'e': 0.042425741080511385}",20,16,6.093893710322565,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1582,False,"{'a': 0.002, 'e': 0.042340974393293145}",25,12,-19.416766106982806,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
1583,False,"{'a': 0.002, 'e': 0.042256377070028925}",30,8,41.12340753013537,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1584,False,"{'a': 0.002, 'e': 0.04217194877232933}",25,8,24.075960866630265,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
1585,False,"{'a': 0.002, 'e': 0.042087689162481054}",25,17,13.052963678020088,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1586,False,"{'a': 0.002, 'e': 0.04200359790344555}",20,14,10.905429324178067,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1587,False,"{'a': 0.002, 'e': 0.04191967465885765}",20,11,16.38872764717306,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
